UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rondônia,Masculino,23,Parda,12,800,1.6038076159999999
Rondônia,Feminino,23,Branca,12,1150,1.7397898269999998
Rondônia,Feminino,35,Parda,15,880,1.7604438219999998
Rondônia,Masculino,46,Branca,6,3500,1.783157945
Rondônia,Feminino,47,Parda,9,150,1.690630954
Rondônia,Feminino,34,Parda,12,790,1.6379055980000001
Rondônia,Masculino,57,Parda,12,3150,1.5700782180000001
Rondônia,Feminino,60,Parda,12,1700,1.608495442
Rondônia,Feminino,50,Preta,14,1800,1.7803288830000001
Rondônia,Masculino,26,Parda,12,1150,1.793202625
Rondônia,Feminino,46,Parda,12,3000,1.787003282
Rondônia,Feminino,49,Parda,6,2500,1.7129115480000001
Rondônia,Feminino,52,Branca,6,1200,1.736442076
Rondônia,Masculino,38,Parda,12,2000,1.750826666
Rondônia,Masculino,45,Branca,12,2000,1.7804503919999999
Rondônia,Masculino,34,Branca,16,6000,1.7118250369999999
Rondônia,Feminino,43,Parda,10,1050,1.789011804
Rondônia,Masculino,53,Parda,16,7000,1.673665133
Rondônia,Masculino,57,Branca,12,2000,1.7151376319999998
Rondônia,Feminino,62,Parda,12,1150,1.76597309
Rondônia,Masculino,69,Parda,1,3030,1.746351196
Rondônia,Feminino,41,Parda,16,4000,1.660873129
Rondônia,Masculino,34,Parda,5,788,1.746048026
Rondônia,Masculino,25,Parda,12,1000,1.7264961580000002
Rondônia,Masculino,33,Parda,9,800,1.778913561
Rondônia,Feminino,44,Parda,5,788,1.6686379409999998
Rondônia,Masculino,33,Branca,16,1600,1.7837706009999998
Rondônia,Masculino,65,Branca,12,1700,1.8734452469999998
Rondônia,Masculino,33,Parda,14,2000,1.890250314
Rondônia,Masculino,32,Parda,12,2400,1.660204145
Rondônia,Masculino,43,Parda,5,3000,1.636361741
Rondônia,Masculino,30,Parda,1,920,1.685590822
Rondônia,Masculino,26,Branca,10,1300,1.68402625
Rondônia,Masculino,52,Branca,15,2000,1.67104419
Rondônia,Masculino,62,Parda,1,1300,1.632129706
Rondônia,Masculino,64,Amarela,5,600,1.712121503
Rondônia,Masculino,31,Parda,7,1200,1.763447989
Rondônia,Masculino,63,Branca,3,1000,1.6945002040000001
Rondônia,Feminino,40,Branca,9,1000,1.705147683
Rondônia,Masculino,47,Preta,9,1500,1.672258066
Rondônia,Masculino,34,Branca,7,900,1.6454526530000002
Rondônia,Masculino,33,Parda,6,900,1.814785789
Rondônia,Masculino,63,Parda,6,0,1.652746296
Rondônia,Feminino,40,Parda,2,300,1.757341995
Rondônia,Masculino,41,Parda,6,1600,1.6112860430000002
Rondônia,Masculino,28,Branca,10,1500,1.6939764030000002
Rondônia,Feminino,32,Parda,12,750,1.684819452
Rondônia,Masculino,44,Branca,1,800,1.701974845
Rondônia,Feminino,38,Branca,12,3600,1.599083153
Rondônia,Masculino,41,Branca,4,1500,1.6468627180000002
Rondônia,Masculino,62,Parda,8,3000,1.752071058
Rondônia,Masculino,37,Parda,7,2300,1.576576371
Rondônia,Masculino,41,Branca,12,1500,1.6974515469999998
Rondônia,Masculino,41,Parda,12,4500,1.573698003
Rondônia,Feminino,46,Branca,16,4800,1.727453392
Rondônia,Feminino,46,Parda,12,900,1.663525091
Rondônia,Feminino,45,Branca,7,400,1.450378572
Rondônia,Masculino,60,Parda,2,1050,1.75151196
Rondônia,Feminino,38,Parda,7,850,1.599067442
Rondônia,Feminino,32,Parda,12,650,1.62281412
Rondônia,Feminino,39,Parda,6,300,1.523482727
Rondônia,Feminino,49,Parda,5,900,1.677850056
Rondônia,Feminino,34,Branca,11,1000,1.77007179
Rondônia,Feminino,38,Parda,8,970,1.7998704280000002
Rondônia,Feminino,36,Preta,12,1000,1.7049550169999999
Rondônia,Feminino,45,Branca,7,600,1.674563104
Rondônia,Masculino,49,Preta,10,1000,1.8105399269999998
Rondônia,Feminino,44,Preta,10,800,1.741427298
Rondônia,Masculino,73,Parda,1,0,1.799846494
Rondônia,Masculino,56,Branca,6,200,1.492688377
Rondônia,Masculino,33,Parda,4,1400,1.66788028
Rondônia,Masculino,27,Branca,12,2500,1.827358586
Rondônia,Masculino,49,Branca,4,3000,1.774589199
Rondônia,Masculino,57,Parda,2,1100,1.7098339809999998
Rondônia,Masculino,41,Parda,17,2000,1.7085447
Rondônia,Masculino,39,Branca,11,1400,1.827305281
Rondônia,Masculino,23,Parda,5,788,1.70508676
Rondônia,Masculino,39,Parda,9,1400,1.785680605
Rondônia,Masculino,35,Preta,4,1000,1.6456851590000001
Rondônia,Masculino,30,Parda,4,600,1.754153474
Rondônia,Masculino,35,Parda,4,788,1.7728276319999998
Rondônia,Masculino,36,Branca,4,500,1.718663746
Rondônia,Masculino,37,Parda,4,1500,1.7149493999999998
Rondônia,Masculino,60,Preta,1,1400,1.650202938
Rondônia,Masculino,38,Branca,9,600,1.727064502
Rondônia,Masculino,43,Branca,9,800,1.765924712
