UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rio de Janeiro,Feminino,58,Branca,9,788,1.7184558269999999
Rio de Janeiro,Masculino,37,Parda,12,3000,1.68898212
Rio de Janeiro,Masculino,59,Parda,5,2000,1.7054626380000002
Rio de Janeiro,Masculino,52,Parda,5,2100,1.748194211
Rio de Janeiro,Feminino,48,Parda,12,1800,1.754992005
Rio de Janeiro,Masculino,35,Branca,9,2700,1.721655194
Rio de Janeiro,Feminino,23,Branca,12,850,1.6351371319999999
Rio de Janeiro,Masculino,59,Branca,7,600,1.8896528540000002
Rio de Janeiro,Feminino,45,Parda,12,1200,1.6541709119999999
Rio de Janeiro,Masculino,60,Parda,9,1000,1.581531107
Rio de Janeiro,Masculino,21,Parda,10,800,1.6086862659999999
Rio de Janeiro,Feminino,50,Parda,9,700,1.648487416
Rio de Janeiro,Masculino,75,Parda,16,0,1.62214383
Rio de Janeiro,Masculino,48,Parda,1,1700,1.749571154
Rio de Janeiro,Masculino,57,Branca,6,2000,1.6405988459999998
Rio de Janeiro,Masculino,41,Parda,5,3000,1.695675303
Rio de Janeiro,Feminino,41,Branca,16,8000,1.841559688
Rio de Janeiro,Feminino,41,Branca,12,5300,1.661124099
Rio de Janeiro,Masculino,61,Branca,6,2300,1.701819311
Rio de Janeiro,Feminino,34,Parda,7,1000,1.79612409
Rio de Janeiro,Feminino,52,Parda,7,800,1.770076662
Rio de Janeiro,Feminino,39,Branca,8,1100,1.7777187069999998
Rio de Janeiro,Masculino,23,Parda,3,950,1.5745305019999998
Rio de Janeiro,Feminino,39,Preta,12,943,1.8467853680000001
Rio de Janeiro,Masculino,34,Branca,12,2500,1.599976048
Rio de Janeiro,Masculino,33,Parda,12,4500,1.79057106
Rio de Janeiro,Feminino,41,Parda,5,1000,1.7021865269999998
Rio de Janeiro,Feminino,24,Parda,12,788,1.641552126
Rio de Janeiro,Feminino,51,Branca,12,788,1.670673546
Rio de Janeiro,Masculino,70,Branca,6,1200,1.662636859
Rio de Janeiro,Feminino,31,Parda,12,2500,1.595615084
Rio de Janeiro,Feminino,34,Parda,10,788,1.731863271
Rio de Janeiro,Masculino,37,Branca,12,2200,1.5839421969999998
Rio de Janeiro,Masculino,42,Branca,9,1600,1.571211897
Rio de Janeiro,Masculino,45,Branca,4,1200,1.8107986530000002
Rio de Janeiro,Feminino,36,Branca,5,788,1.797439297
Rio de Janeiro,Masculino,46,Branca,12,1300,1.750111403
Rio de Janeiro,Masculino,31,Branca,12,788,1.57467665
Rio de Janeiro,Masculino,31,Parda,12,2500,1.743199476
Rio de Janeiro,Feminino,50,Parda,9,1200,1.758562189
Rio de Janeiro,Feminino,28,Parda,9,900,1.684038855
Rio de Janeiro,Masculino,62,Parda,1,500,1.711769562
Rio de Janeiro,Masculino,38,Preta,5,788,1.7762767590000001
Rio de Janeiro,Masculino,53,Preta,9,3500,1.8998751130000002
Rio de Janeiro,Masculino,49,Branca,6,950,1.623690021
Rio de Janeiro,Feminino,56,Branca,12,600,1.697184965
Rio de Janeiro,Masculino,32,Parda,6,1045,1.661269534
Rio de Janeiro,Feminino,36,Branca,1,300,1.663240127
Rio de Janeiro,Feminino,26,Branca,10,788,1.81747818
Rio de Janeiro,Feminino,50,Preta,4,788,1.65134182
Rio de Janeiro,Masculino,29,Parda,5,1200,1.763082922
Rio de Janeiro,Masculino,43,Branca,9,1350,1.5999762119999998
Rio de Janeiro,Feminino,52,Parda,9,1000,1.7555350159999998
Rio de Janeiro,Masculino,55,Parda,9,1800,1.64173396
Rio de Janeiro,Masculino,58,Parda,7,1300,1.595751371
Rio de Janeiro,Masculino,48,Branca,4,1000,1.70527665
Rio de Janeiro,Masculino,54,Parda,16,2900,1.761410895
Rio de Janeiro,Masculino,53,Parda,9,2400,1.650303324
Rio de Janeiro,Masculino,52,Parda,12,1400,1.52656398
Rio de Janeiro,Feminino,40,Branca,12,1600,1.6482480030000002
Rio de Janeiro,Masculino,56,Parda,12,1576,1.7223465130000002
Rio de Janeiro,Masculino,40,Parda,12,5500,1.8190631290000001
Rio de Janeiro,Masculino,49,Parda,8,1500,1.7411875559999999
Rio de Janeiro,Feminino,54,Parda,9,2000,1.7011351630000002
Rio de Janeiro,Masculino,29,Preta,12,1500,1.729151366
Rio de Janeiro,Masculino,34,Branca,12,1100,1.602288736
Rio de Janeiro,Feminino,69,Branca,12,1800,1.6953938919999998
Rio de Janeiro,Feminino,66,Parda,4,300,1.799584499
Rio de Janeiro,Feminino,55,Parda,5,1100,1.78053621
Rio de Janeiro,Feminino,37,Branca,16,1800,1.6623236430000001
Rio de Janeiro,Masculino,32,Branca,16,5500,1.7822626719999999
Rio de Janeiro,Masculino,56,Branca,13,5000,1.692349563
Rio de Janeiro,Masculino,58,Parda,9,2000,1.7078677469999999
Rio de Janeiro,Masculino,42,Parda,12,1200,1.642727082
Rio de Janeiro,Masculino,37,Preta,9,800,1.703308272
Rio de Janeiro,Masculino,65,Preta,1,500,1.547026671
Rio de Janeiro,Masculino,31,Preta,17,1200,1.797262221
Rio de Janeiro,Feminino,43,Branca,5,500,1.793240164
Rio de Janeiro,Feminino,42,Parda,12,1500,1.580453869
Rio de Janeiro,Feminino,63,Parda,4,800,1.84274959
Rio de Janeiro,Masculino,30,Parda,12,880,1.7455614959999999
Rio de Janeiro,Masculino,34,Parda,6,1400,1.692866368
Rio de Janeiro,Masculino,65,Parda,7,800,1.620334924
Rio de Janeiro,Feminino,54,Parda,12,500,1.6623849080000002
Rio de Janeiro,Feminino,47,Parda,16,1500,1.639366869
Rio de Janeiro,Feminino,32,Parda,9,900,1.786177425
Rio de Janeiro,Masculino,35,Branca,12,2500,1.68415393
Rio de Janeiro,Masculino,34,Branca,16,3000,1.7209663030000002
Rio de Janeiro,Masculino,61,Parda,12,5000,1.716130327
Rio de Janeiro,Masculino,37,Branca,12,3000,1.6590911869999998
Rio de Janeiro,Masculino,63,Parda,9,1600,1.5911954259999999
Rio de Janeiro,Masculino,64,Parda,6,1200,1.6803537
Rio de Janeiro,Feminino,50,Branca,16,6500,1.7074552619999999
Rio de Janeiro,Feminino,50,Branca,16,2200,1.7893367409999998
Rio de Janeiro,Feminino,42,Branca,16,3500,1.5356525419999998
Rio de Janeiro,Feminino,56,Parda,16,16000,1.688611571
Rio de Janeiro,Masculino,34,Branca,16,8000,1.6806781419999999
Rio de Janeiro,Masculino,57,Branca,16,5000,1.642118895
Rio de Janeiro,Masculino,37,Branca,6,800,1.650609479
Rio de Janeiro,Masculino,47,Branca,4,1000,1.8270364119999998
Rio de Janeiro,Feminino,55,Parda,4,788,1.6409701819999998
Rio de Janeiro,Masculino,20,Parda,7,1200,1.7073584080000002
Rio de Janeiro,Masculino,38,Branca,9,1600,1.7651139059999998
Rio de Janeiro,Masculino,55,Branca,5,200,1.755105561
Rio de Janeiro,Masculino,35,Parda,8,4000,1.759982585
Rio de Janeiro,Masculino,30,Parda,12,1000,1.763803298
Rio de Janeiro,Masculino,46,Branca,9,1200,1.641823829
Rio de Janeiro,Feminino,43,Parda,12,1500,1.74727691
Rio de Janeiro,Masculino,47,Parda,12,2500,1.65470219
Rio de Janeiro,Masculino,48,Preta,9,3000,1.753025974
Rio de Janeiro,Masculino,52,Preta,6,2000,1.82005332
Rio de Janeiro,Feminino,42,Branca,16,3000,1.735414302
Rio de Janeiro,Masculino,62,Parda,9,600,1.7699293390000002
Rio de Janeiro,Masculino,64,Branca,12,3500,1.731615266
Rio de Janeiro,Masculino,36,Parda,12,3000,1.839596285
Rio de Janeiro,Masculino,57,Parda,12,9000,1.716719993
Rio de Janeiro,Masculino,51,Parda,16,3500,1.724343137
Rio de Janeiro,Feminino,63,Branca,9,1500,1.586305205
Rio de Janeiro,Feminino,55,Branca,9,800,1.608866388
Rio de Janeiro,Feminino,68,Branca,5,400,1.679950705
Rio de Janeiro,Masculino,52,Branca,12,900,1.6448677680000001
Rio de Janeiro,Feminino,42,Branca,14,2000,1.693879586
Rio de Janeiro,Masculino,37,Branca,16,4800,1.815177876
Rio de Janeiro,Feminino,50,Branca,15,2000,1.696986017
Rio de Janeiro,Masculino,38,Branca,12,2000,1.535012716
Rio de Janeiro,Masculino,38,Branca,11,2200,1.7736804169999998
Rio de Janeiro,Masculino,50,Parda,7,600,1.6962620519999998
